college,name,moonigwa
서울대학교 인문대학,국어국문학과,문과
서울대학교 인문대학,중어중문학과,문과
서울대학교 인문대학,영어영문학과,문과
서울대학교 인문대학,불어불문학과,문과
서울대학교 인문대학,독어독문학과,문과
서울대학교 인문대학,노어노문학과,문과
서울대학교 인문대학,서어서문학과,문과
서울대학교 인문대학,아시아언어문명학부,문과
서울대학교 인문대학,언어학과,문과
서울대학교 인문대학,국사학과,문과
서울대학교 인문대학,동양사학과,문과
서울대학교 인문대학,서양사학과,문과
서울대학교 인문대학,철학과,문과
서울대학교 인문대학,종교학과,문과
서울대학교 인문대학,미학과,문과
서울대학교 인문대학,고고미술사학과,문과
서울대학교 사회과학대학,정치외교학부(정치학전공),문과
서울대학교 사회과학대학,정치외교학부(외교학전공),문과
서울대학교 사회과학대학,경제학부,문과
서울대학교 사회과학대학,사회학과,문과
서울대학교 사회과학대학,인류학과,문과
서울대학교 사회과학대학,심리학과,문과
서울대학교 사회과학대학,지리학과,문과
서울대학교 사회과학대학,사회복지학과,문과
서울대학교 사회과학대학,언론정보학과,문과
서울대학교 자연과학대학,수리과학부,이과
서울대학교 자연과학대학,통계학과,이과
서울대학교 자연과학대학,물리천문학부(물리학전공),이과
서울대학교 자연과학대학,물리천문학부(천문학전공),이과
서울대학교 자연과학대학,화학부,이과
서울대학교 자연과학대학,생명과학부,이과
서울대학교 자연과학대학,지구환경과학부,이과
서울대학교 간호대학,간호학과,이과
서울대학교 경영대학,경영학과,문과
서울대학교 공과대학,건설환경공학부,이과
서울대학교 공과대학,기계항공공학부(기계공학전공),이과
서울대학교 공과대학,기계항공공학부(우주항공공학전공),이과
서울대학교 공과대학,재료공학부,이과
서울대학교 공과대학,전기정보공학부,이과
서울대학교 공과대학,컴퓨터공학부,이과
서울대학교 공과대학,화학생물공학부,이과
서울대학교 공과대학,건축학과,이과
서울대학교 공과대학,산업공학과,이과
서울대학교 공과대학,에너지자원공학과,이과
서울대학교 공과대학,원자핵공학과,이과
서울대학교 공과대학,조선해양공학과,이과
서울대학교 농업생명과학대학,식물생산과학부,이과
서울대학교 농업생명과학대학,산림과학부,이과
서울대학교 농업생명과학대학,응용생물화학부,이과
서울대학교 농업생명과학대학,식품동물생명공학부,이과
서울대학교 농업생명과학대학,바이오시스템소재학부,이과
서울대학교 농업생명과학대학,조경지역시스템공학부,이과
서울대학교 농업생명과학대학,농경제사회학부,문과
서울대학교 사범대학,교육학과,문과
서울대학교 사범대학,국어교육과,문과
서울대학교 사범대학,영어교육과,문과
서울대학교 사범대학,불어교육과,문과
서울대학교 사범대학,독어교육과,문과
서울대학교 사범대학,사회교육과,문과
서울대학교 사범대학,역사교육과,문과
서울대학교 사범대학,지리교육과,문과
서울대학교 사범대학,윤리교육과,문과
서울대학교 사범대학,수학교육과,이과
서울대학교 사범대학,물리교육과,이과
서울대학교 사범대학,화학교육과,이과
서울대학교 사범대학,생물교육과,이과
서울대학교 사범대학,지구과학교육과,이과
서울대학교 생활과학대학,소비자아동학부(소비자학전공),문과
서울대학교 생활과학대학,소비자아동학부(아동가족학전공),문과
서울대학교 생활과학대학,식품영양학과,이과
서울대학교 생활과학대학,의류학과,"문과, 이과"
서울대학교 수의과대학,수의예과,이과
서울대학교 의과대학,의예과,이과
서울대학교 치의학대학,치의학과,이과
서울대학교 자유전공학부,자유전공학부,"문과, 이과"
