susi	major_block	description	start_date	end_date
"2021/성균관대학교/수시전형/학생부종합전형 (계열모집, 학과모집)"	성균관대학교/의예	원서접수	2020-09-24T10:00:00	2020-09-28T17:00:00
"2021/성균관대학교/수시전형/학생부종합전형 (계열모집, 학과모집)"	성균관대학교/사범대학	원서접수	2020-09-24T10:00:00	2020-09-28T17:00:00
"2021/성균관대학교/수시전형/학생부종합전형 (계열모집, 학과모집)"	성균관대학교/스포츠과학	원서접수	2020-09-24T10:00:00	2020-09-28T17:00:00
"2021/성균관대학교/수시전형/학생부종합전형 (계열모집, 학과모집)"	성균관대학교/인문계	원서접수	2020-09-24T10:00:00	2020-09-28T17:00:00
"2021/성균관대학교/수시전형/학생부종합전형 (계열모집, 학과모집)"	성균관대학교/자연계	원서접수	2020-09-24T10:00:00	2020-09-28T17:00:00
"2021/성균관대학교/수시전형/학생부종합전형 (계열모집, 학과모집)"	성균관대학교/의예	자기소개서 입력	2020-09-24T10:00:00	2020-09-29T17:00:00
"2021/성균관대학교/수시전형/학생부종합전형 (계열모집, 학과모집)"	성균관대학교/사범대학	자기소개서 입력	2020-09-24T10:00:00	2020-09-29T17:00:00
"2021/성균관대학교/수시전형/학생부종합전형 (계열모집, 학과모집)"	성균관대학교/스포츠과학	자기소개서 입력	2020-09-24T10:00:00	2020-09-29T17:00:00
"2021/성균관대학교/수시전형/학생부종합전형 (계열모집, 학과모집)"	성균관대학교/인문계	자기소개서 입력	2020-09-24T10:00:00	2020-09-29T17:00:00
"2021/성균관대학교/수시전형/학생부종합전형 (계열모집, 학과모집)"	성균관대학교/자연계	자기소개서 입력	2020-09-24T10:00:00	2020-09-29T17:00:00
"2021/성균관대학교/수시전형/학생부종합전형 (계열모집, 학과모집)"	성균관대학교/의예	서류제출	2020-09-25T10:00:00	2020-09-29T17:00:00
"2021/성균관대학교/수시전형/학생부종합전형 (계열모집, 학과모집)"	성균관대학교/사범대학	서류제출	2020-09-25T10:00:00	2020-09-29T17:00:00
"2021/성균관대학교/수시전형/학생부종합전형 (계열모집, 학과모집)"	성균관대학교/스포츠과학	서류제출	2020-09-25T10:00:00	2020-09-29T17:00:00
"2021/성균관대학교/수시전형/학생부종합전형 (계열모집, 학과모집)"	성균관대학교/인문계	서류제출	2020-09-25T10:00:00	2020-09-29T17:00:00
"2021/성균관대학교/수시전형/학생부종합전형 (계열모집, 학과모집)"	성균관대학교/자연계	서류제출	2020-09-25T10:00:00	2020-09-29T17:00:00
"2021/성균관대학교/수시전형/학생부종합전형 (계열모집, 학과모집)"	성균관대학교/의예	"면접 대상자, 시험장 발표"	2020-11-11T00:00:00	2020-11-11T23:59:59
"2021/성균관대학교/수시전형/학생부종합전형 (계열모집, 학과모집)"	성균관대학교/사범대학	"면접 대상자, 시험장 발표"	2020-11-04T00:00:00	2020-11-04T23:59:59
"2021/성균관대학교/수시전형/학생부종합전형 (계열모집, 학과모집)"	성균관대학교/스포츠과학	"면접 대상자, 시험장 발표"	2020-11-04T00:00:00	2020-11-04T23:59:59
"2021/성균관대학교/수시전형/학생부종합전형 (계열모집, 학과모집)"	성균관대학교/의예	면접	2020-11-14T00:00:00	2020-11-14T23:59:59
"2021/성균관대학교/수시전형/학생부종합전형 (계열모집, 학과모집)"	성균관대학교/사범대학	면접	2020-11-07T00:00:00	2020-11-07T23:59:59
"2021/성균관대학교/수시전형/학생부종합전형 (계열모집, 학과모집)"	성균관대학교/스포츠과학	면접	2020-11-08T00:00:00	2020-11-08T23:59:59
"2021/성균관대학교/수시전형/학생부종합전형 (계열모집, 학과모집)"	성균관대학교/의예	합격자 발표	2020-12-27T00:00:00	2020-12-27T23:59:59
"2021/성균관대학교/수시전형/학생부종합전형 (계열모집, 학과모집)"	성균관대학교/사범대학	합격자 발표	2020-12-27T00:00:00	2020-12-27T23:59:59
"2021/성균관대학교/수시전형/학생부종합전형 (계열모집, 학과모집)"	성균관대학교/스포츠과학	합격자 발표	2020-12-27T00:00:00	2020-12-27T23:59:59
"2021/성균관대학교/수시전형/학생부종합전형 (계열모집, 학과모집)"	성균관대학교/인문계	합격자 발표	2020-12-27T00:00:00	2020-12-27T23:59:59
"2021/성균관대학교/수시전형/학생부종합전형 (계열모집, 학과모집)"	성균관대학교/자연계	합격자 발표	2020-12-27T00:00:00	2020-12-27T23:59:59
"2021/성균관대학교/수시전형/학생부종합전형 (계열모집, 학과모집)"	성균관대학교/의예	합격자 등록	2020-12-28T00:00:00	2020-12-30T16:00:00
"2021/성균관대학교/수시전형/학생부종합전형 (계열모집, 학과모집)"	성균관대학교/사범대학	합격자 등록	2020-12-28T00:00:00	2020-12-30T16:00:00
"2021/성균관대학교/수시전형/학생부종합전형 (계열모집, 학과모집)"	성균관대학교/스포츠과학	합격자 등록	2020-12-28T00:00:00	2020-12-30T16:00:00
"2021/성균관대학교/수시전형/학생부종합전형 (계열모집, 학과모집)"	성균관대학교/인문계	합격자 등록	2020-12-28T00:00:00	2020-12-30T16:00:00
"2021/성균관대학교/수시전형/학생부종합전형 (계열모집, 학과모집)"	성균관대학교/자연계	합격자 등록	2020-12-28T00:00:00	2020-12-30T16:00:00
"2021/성균관대학교/수시전형/학생부종합전형 (계열모집, 학과모집)"	성균관대학교/의예	추가합격자 발표	2020-12-31T00:00:00	2021-01-04T21:00:00
"2021/성균관대학교/수시전형/학생부종합전형 (계열모집, 학과모집)"	성균관대학교/사범대학	추가합격자 발표	2020-12-31T00:00:00	2021-01-04T21:00:00
"2021/성균관대학교/수시전형/학생부종합전형 (계열모집, 학과모집)"	성균관대학교/스포츠과학	추가합격자 발표	2020-12-31T00:00:00	2021-01-04T21:00:00
"2021/성균관대학교/수시전형/학생부종합전형 (계열모집, 학과모집)"	성균관대학교/인문계	추가합격자 발표	2020-12-31T00:00:00	2021-01-04T21:00:00
"2021/성균관대학교/수시전형/학생부종합전형 (계열모집, 학과모집)"	성균관대학교/자연계	추가합격자 발표	2020-12-31T00:00:00	2021-01-04T21:00:00
"2021/성균관대학교/수시전형/학생부종합전형 (계열모집, 학과모집)"	성균관대학교/의예	추가합격자 등록	2020-12-31T00:00:00	2021-01-05T16:00:00
"2021/성균관대학교/수시전형/학생부종합전형 (계열모집, 학과모집)"	성균관대학교/사범대학	추가합격자 등록	2020-12-31T00:00:00	2021-01-05T16:00:00
"2021/성균관대학교/수시전형/학생부종합전형 (계열모집, 학과모집)"	성균관대학교/스포츠과학	추가합격자 등록	2020-12-31T00:00:00	2021-01-05T16:00:00
"2021/성균관대학교/수시전형/학생부종합전형 (계열모집, 학과모집)"	성균관대학교/인문계	추가합격자 등록	2020-12-31T00:00:00	2021-01-05T16:00:00
"2021/성균관대학교/수시전형/학생부종합전형 (계열모집, 학과모집)"	성균관대학교/자연계	추가합격자 등록	2020-12-31T00:00:00	2021-01-05T16:00:00
"2021/성균관대학교/수시전형/학생부종합전형 (계열모집, 학과모집)"	성균관대학교/의예	합격자 최종등록	2021-02-08T00:00:00	2021-02-10T16:00:00
"2021/성균관대학교/수시전형/학생부종합전형 (계열모집, 학과모집)"	성균관대학교/사범대학	합격자 최종등록	2021-02-08T00:00:00	2021-02-10T16:00:00
"2021/성균관대학교/수시전형/학생부종합전형 (계열모집, 학과모집)"	성균관대학교/스포츠과학	합격자 최종등록	2021-02-08T00:00:00	2021-02-10T16:00:00
"2021/성균관대학교/수시전형/학생부종합전형 (계열모집, 학과모집)"	성균관대학교/인문계	합격자 최종등록	2021-02-08T00:00:00	2021-02-10T16:00:00
