susi,major_block,description,start_date,end_date
2021/한국예술종합학교/수시전형/특별전형,"한국예술종합학교/음악원 (성악과, 기악과)",원서접수,2020-06-22T00:00:00,2020-06-25T18:00:00
2021/한국예술종합학교/수시전형/특별전형,한국예술종합학교/무용원 (실기과(발레)),원서접수,2020-06-22T00:00:00,2020-06-25T18:00:00
2021/한국예술종합학교/수시전형/특별전형,"한국예술종합학교/영상원 (영화과, 애니메이션과)",원서접수,2020-06-22T00:00:00,2020-06-25T18:00:00
2021/한국예술종합학교/수시전형/특별전형,"한국예술종합학교/음악원 (성악과, 기악과)",관련서류 제출,2020-06-22T10:00:00,2020-06-26T18:00:00
2021/한국예술종합학교/수시전형/특별전형,한국예술종합학교/무용원 (실기과(발레)),관련서류 제출,2020-06-22T10:00:00,2020-06-26T18:00:00
2021/한국예술종합학교/수시전형/특별전형,"한국예술종합학교/영상원 (영화과, 애니메이션과)",관련서류 제출,2020-06-22T10:00:00,2020-06-26T18:00:00
2021/한국예술종합학교/수시전형/특별전형,"한국예술종합학교/음악원 (성악과, 기악과)",지원자격여부 확인결과 발표,2020-07-28T17:00:00,2020-07-28T17:00:00
2021/한국예술종합학교/수시전형/특별전형,한국예술종합학교/무용원 (실기과(발레)),지원자격여부 확인결과 발표,2020-07-28T17:00:00,2020-07-28T17:00:00
2021/한국예술종합학교/수시전형/특별전형,"한국예술종합학교/영상원 (영화과, 애니메이션과)",지원자격여부 확인결과 발표,2020-07-28T17:00:00,2020-07-28T17:00:00
2021/한국예술종합학교/수시전형/특별전형,"한국예술종합학교/음악원 (성악과, 기악과)",시험시간표 발표,2020-08-13T15:00:00,2020-08-13T15:00:00
2021/한국예술종합학교/수시전형/특별전형,한국예술종합학교/무용원 (실기과(발레)),시험시간표 발표,2020-08-13T15:00:00,2020-08-13T15:00:00
2021/한국예술종합학교/수시전형/특별전형,"한국예술종합학교/영상원 (영화과, 애니메이션과)",시험시간표 발표,2020-08-13T15:00:00,2020-08-13T15:00:00
2021/한국예술종합학교/수시전형/특별전형,"한국예술종합학교/음악원 (성악과, 기악과)",시험,2020-08-18T00:00:00,2020-08-25T23:59:59
2021/한국예술종합학교/수시전형/특별전형,한국예술종합학교/무용원 (실기과(발레)),시험,2020-08-18T00:00:00,2020-08-25T23:59:59
2021/한국예술종합학교/수시전형/특별전형,"한국예술종합학교/영상원 (영화과, 애니메이션과)",시험,2020-08-18T00:00:00,2020-08-25T23:59:59
2021/한국예술종합학교/수시전형/특별전형,"한국예술종합학교/음악원 (성악과, 기악과)",최종 합격자 발표,2020-08-28T17:00:00,2020-08-28T17:00:00
2021/한국예술종합학교/수시전형/특별전형,한국예술종합학교/무용원 (실기과(발레)),최종 합격자 발표,2020-08-28T17:00:00,2020-08-28T17:00:00
2021/한국예술종합학교/수시전형/특별전형,"한국예술종합학교/영상원 (영화과, 애니메이션과)",최종 합격자 발표,2020-08-28T17:00:00,2020-08-28T17:00:00
2021/한국예술종합학교/수시전형/특별전형,"한국예술종합학교/음악원 (성악과, 기악과)",합격자 등록 (예정),2021-01-26T00:00:00,2021-01-29T23:59:59
2021/한국예술종합학교/수시전형/특별전형,한국예술종합학교/무용원 (실기과(발레)),합격자 등록 (예정),2021-01-26T00:00:00,2021-01-29T23:59:59
2021/한국예술종합학교/수시전형/특별전형,"한국예술종합학교/영상원 (영화과, 애니메이션과)",합격자 등록 (예정),2021-01-26T00:00:00,2021-01-29T23:59:59
2021/한국예술종합학교/수시전형/일반전형,한국예술종합학교/무용원 (실기과(발레)),원서접수,2020-06-22T00:00:00,2020-06-25T18:00:00
2021/한국예술종합학교/수시전형/일반전형,한국예술종합학교/무용원 (그 외),원서접수,2020-06-22T00:00:00,2020-06-25T18:00:00
2021/한국예술종합학교/수시전형/일반전형,한국예술종합학교/연극원 (연기과),원서접수,2020-06-22T00:00:00,2020-06-25T18:00:00
2021/한국예술종합학교/수시전형/일반전형,"한국예술종합학교/음악원 (성악과, 기악과)",원서접수,2020-08-24T00:00:00,2020-08-27T18:00:00
2021/한국예술종합학교/수시전형/일반전형,"한국예술종합학교/음악원 (작곡과, 지휘과, 음악학과)",원서접수,2020-08-24T00:00:00,2020-08-27T18:00:00
2021/한국예술종합학교/수시전형/일반전형,한국예술종합학교/연극원 (무대미술과),원서접수,2020-08-24T00:00:00,2020-08-27T18:00:00
2021/한국예술종합학교/수시전형/일반전형,한국예술종합학교/전통예술원,원서접수,2020-08-24T00:00:00,2020-08-27T18:00:00
2021/한국예술종합학교/수시전형/일반전형,"한국예술종합학교/연극원 (연출과, 극작과, 연극학과)",원서접수,2020-10-12T00:00:00,2020-10-15T18:00:00
